from april 19th ~16 to april 20th 8:27
Dette er den første linjen i filen.
105.00;1555410.00;9.00;62.00;2.80;1.30;
106.00;1570207.00;9.00;61.70;3.60;1.20;
107.00;1585004.00;9.00;62.20;3.60;1.20;
108.00;1599800.00;9.00;62.30;6.30;1.50;
109.00;1614597.00;9.00;63.00;7.30;1.80;
110.00;1629393.00;8.90;63.20;5.40;1.80;
111.00;1644192.00;8.90;63.70;4.70;1.50;
112.00;1658989.00;8.90;63.40;3.70;1.60;
113.00;1673786.00;8.90;64.10;3.80;1.60;
114.00;1688583.00;8.90;65.10;7.00;1.60;
115.00;1703378.00;8.90;64.50;7.70;1.90;
116.00;1718175.00;8.90;64.30;5.90;2.00;
117.00;1732971.00;8.90;64.40;7.50;2.30;
118.00;1747768.00;8.80;64.10;7.10;2.30;
119.00;1762572.00;8.80;64.10;3.90;1.80;
120.00;1777368.00;8.70;64.00;5.70;1.80;
121.00;1792164.00;8.80;65.80;6.10;1.80;
122.00;1806961.00;8.70;65.60;5.50;1.70;
123.00;1821760.00;8.70;65.10;11.00;1.80;
124.00;1836557.00;8.70;64.80;11.00;1.70;
125.00;1851354.00;8.70;64.80;7.60;1.80;
126.00;1866150.00;8.70;64.80;7.60;1.80;
127.00;1880946.00;8.70;65.60;8.60;1.60;
128.00;1895743.00;8.70;65.40;6.70;1.60;
129.00;1910540.00;8.60;65.30;6.00;1.70;
130.00;1925336.00;8.60;65.20;7.50;1.80;
131.00;1940132.00;8.60;65.50;4.60;1.50;
132.00;1954929.00;8.60;65.80;5.10;1.50;
133.00;1969726.00;8.60;65.80;7.20;1.50;
134.00;1984523.00;8.50;65.50;5.60;1.50;
135.00;1999319.00;8.50;65.30;2.80;1.30;
136.00;2014119.00;8.50;65.80;3.30;1.40;
137.00;2028915.00;8.50;65.40;5.80;1.80;
138.00;2043722.00;8.60;65.30;7.50;2.00;
139.00;2058519.00;8.50;65.30;6.20;1.80;
140.00;2073316.00;8.50;65.20;4.30;1.40;
